WAD file    : jagdoom.wad
numlumps    : 1855
infotableofs: 3238548

lump name       size  filepos    0xsize   0xfpos
 364   BLUDC0    156   215132    0x009C 0x0003485C
 365        .    108   215288    0x006C 0x000348F8
 366   BAL2A0    176   215380    0x00B0 0x00034954
 367        .    216   215556    0x00D8 0x00034A04
 368   BAL2B0    164   215720    0x00A4 0x00034AA8
 369        .    200   215884    0x00C8 0x00034B4C
 370   BAL2C0    544   216052    0x0220 0x00034BF4
 371        .   1520   216596    0x05F0 0x00034E14
 372   BAL2D0    984   218072    0x03D8 0x000353D8
 373        .   1764   219056    0x06E4 0x000357B0
 374   BAL2E0   1596   220184    0x063C 0x00035C18
 375        .   1320   221780    0x0528 0x00036254
 376   BAL3A0    240   222312    0x00F0 0x00036468
 377        .    460   222552    0x01CC 0x00036558
 378   BAL3B0    240   222944    0x00F0 0x000366E0
 379        .    460   223184    0x01CC 0x000367D0
 380   BAL3C0    820   223576    0x0334 0x00036958
 381        .   1340   224396    0x053C 0x00036C8C
 382   BAL3D0    812   225344    0x032C 0x00037040
 383        .   1748   226156    0x06D4 0x0003736C
 384   BAL3E0   1404   227076    0x057C 0x00037704
 385        .   1016   228480    0x03F8 0x00037C80
 386   BAL4A0    240   228748    0x00F0 0x00037D8C
 387        .    460   228988    0x01CC 0x00037E7C
 388   BAL4B0    240   229384    0x00F0 0x00038008
 389        .    460   229624    0x01CC 0x000380F8
 390   BAL4C0    820   230004    0x0334 0x00038274
 391        .   1340   230824    0x053C 0x000385A8
 392   BAL4D0    984   231684    0x03D8 0x00038904
 393        .   1764   232668    0x06E4 0x00038CDC
 394   BAL4E0   1596   233588    0x063C 0x00039074
 395        .   1320   235184    0x0528 0x000396B0
 396   BAL5A0    180   235560    0x00B4 0x00039828
 397        .    260   235740    0x0104 0x000398DC
 398   BAL5B0    188   235992    0x00BC 0x000399D8
 399        .    268   236180    0x010C 0x00039A94
 400   BAL6A0    180   236440    0x00B4 0x00039B98
 401        .    260   236620    0x0104 0x00039C4C
 402   BAL6B0    188   236840    0x00BC 0x00039D28
 403        .    268   237028    0x010C 0x00039DE4
 404   TFOGA0    516   237244    0x0204 0x00039EBC
 405        .   1844   237760    0x0734 0x0003A0C0
 406   TFOGB0    676   239116    0x02A4 0x0003A60C
 407        .   1272   239792    0x04F8 0x0003A8B0
 408   TFOGC0    580   240640    0x0244 0x0003AC00
 409        .   1020   241220    0x03FC 0x0003AE44
 410   TFOGD0    464   241956    0x01D0 0x0003B124
 411        .    724   242420    0x02D4 0x0003B2F4
 412   TFOGE0    216   242960    0x00D8 0x0003B510
 413        .    248   243176    0x00F8 0x0003B5E8
 414   TFOGF0    100   243400    0x0064 0x0003B6C8
 415        .     80   243500    0x0050 0x0003B72C
 416   TFOGG0     40   243580    0x0028 0x0003B77C
 417        .     16   243620    0x0010 0x0003B7A4
 418   TFOGH0     80   243636    0x0050 0x0003B7B4
 419        .     32   243716    0x0020 0x0003B804
 420   TFOGI0    140   243748    0x008C 0x0003B824
 421        .     76   243888    0x004C 0x0003B8B0
 422   TFOGJ0    180   243948    0x00B4 0x0003B8EC
 423        .    136   244128    0x0088 0x0003B9A0
 424   PLAYA1    448   244212    0x01C0 0x0003B9F4
 425        .   1112   244660    0x0458 0x0003BBB4
 426 PLAYA2A8    424   245688    0x01A8 0x0003BFB8
 427        .   1048   246112    0x0418 0x0003C160
